"id","profileName","text","date","title","rating","images","helpful"
"R3FULBT7SIE12L","Amazon Customer","
  If you are here then Buy it nowThis book has what you are looking for.While reading You will know about your mind and why there is depression, anxiety, stress, misery, suffering in your life and how you can resolve all this and be at peace with yourself.
","Reviewed in India on 23 September 2017","Must read book for every human being on this planet",5,"","132"
"R1POOYGC3S1YDO","KABIR SINGH","
  One of most clear book on most ambiguous concept of mind. After reading it you can be able to control your mind instead being controlled by it. Best book for people who starts  their day in the hope of a better life but some sudden thoughts and things made them worse.Books us in question and answer form. After reading it you will be a clear person. I bought it just for 180rs.Paper quality average but not misprints that is a good thing.
","Reviewed in India on 30 October 2018","Mind vs Brain vs Ego vs Being vs You",5,"https://images-na.ssl-images-amazon.com/images/I/61V9AUu6m-L.jpg","65"
"R287YNMT8ZLEC5","Rishabh Paul","
  Even after purchasing from an Amazon fulfilled seller which is GS RETAILER... The book seems to be a copy... Very low quality printing, low quality pages and even the cover pages are of poor quality... Ordered for my roommate's birthday... But very disappointed... :(Bharosa uth gya ""amazon fulfilled"" se bhi.
","Reviewed in India on 4 April 2018","Low quality Pages and very poor Printing.",2,"","53"
"R27PQHHJZINKK6","Aby Vohra","
  ** My First Spiritual Awakening Experience while Reading - The Power of Now ! **I tasted my first awakening while reading Page 53 in the book The Power of Now (Author: Eckhart Tolle) in August 2008 recession in Dubai, UAE. The Power of Now is ""Consciousness on Paper"". This book will be remembered for hundreds of years as ""Spiritual Gift"" to mankind.Attached is the image of that page!I only realized in retrospect that I got awakened in August 2008, in the year 2012 once I went deep into Eckhart’s teaching! I still remember, my thinking stopped while reading this on page 53: “Focus your attention on the Now and tell me what problem you have at this moment… I am not getting any answer because it is impossible to have a problem when your attention fully in the Now”I was absolutely in a miserable state and was not sleeping well for 3 months or so, as my real estate company was going down due to the 2008 financial recession after years of my efforts. I was realizing that I will lose everything and my business will be absolutely destroyed. It eventually got destroyed and it was truly a learning experience!I lost millions in Six months including my properties on palm Jumeriah islands, bank balance and cars!** I LOST EVERYTHING AND I GAINED MY LIFE**But the most magical thing is how that awakening experience took place.Suddenly after that awakening moment, I went into another room where my wife was watching TV and I invite her to dance.My identification with my problems, with money issues broken one by one in that moment. As if all the strings attached to my mind which caused me misery are broken. And I experienced pure awareness once my awareness got released with the identification with mental forms. I felt that I was born again. Literally. I felt so light and I started to cry profusely after i stop dancing with my wife! My wife was a bit confused about seeing me like that. She told me later that she thought I went “crazy” ;)The next day I hand over my Ego's favorite Cars' key to my wife and ask her to drive. Now my wife was 100% confirmed that I went crazy. Why would I give her my favorite car to drive? lol. On our way I was just observing trees on the roads with absolute stillness lying sideways on side seat like a kid. I never watched nature like this as it was a ""waste of time"" for me in my normal state. Usually, in my normal state, I was even scared to sit in car when my wife was driving ..lolWhen I went into my firm/company and start speaking to my people. I felt their feelings just listening to them. As if I can sense what people are feeling. I apologize to one of my people, Natasha, with tears in my eyes for misunderstanding.. I never had any expectations from my employees and i just want to listen to them.Those 5 to 7 days (i don’t even remember how many days exactly) were magical days.My normal consciousness soon took over and from that moment it's going ON and OFF.Later in life I applied same “surrender” principles to my physical pains for lower Brain Tumor surgery and my 4 years intense back and chronic pain and then recovered fullyFor the last 6 years, I left my real estate business! Realization of being withing me its steady and peaceful for last 3 years.Slowly, Slowly I left the path of competitiveness. Also Money now comes easily as in last 6 years i have created assets which giving me passive income so I am financially free too.The point I am trying to make is once you have that awakening , ego will try to delay it by making you extremely ""fearful"" but you need have courage to follow the path and read Eckhart tolle's  books. It will intensify our awakening!I will be glad to know and learn from your first awakening experience if you are willing to share! Thanks
","Reviewed in India on 19 October 2020","** My First Spiritual Awakening Experience while Reading - The Power of Now ! **",5,"https://images-na.ssl-images-amazon.com/images/I/812igTjLMxL.jpg","17"
"R3SSXQ15HF6416","Pondicherry ","
  Purchased this paperback from seller YOURVISION INDIA for the price of ₹218 (₹143+₹75).I received the INDIAN VERSION published by YOGIIMPRESSIONS.The print quality of the cover and the pages are poor. The lines are smudged in certain pages. The quality of the paper is also poor.After comparing it with the original, some of the lines seem to be edited. I don’t know if they edited it because it’s the Indian version or for whatever reasons, it’s not the original ECKHART TOLLE - THE POWER OF NOW.Overall I gave a star for its on time delivery and the other because I could read it at least despite its disappointing quality.People pls share your experiences with different seller as well. Thanks!
","Reviewed in India on 17 February 2019","PURCHASED FROM SELLER YOURVISION INDIA",2,"","20"
"R3IXCV0J4NHMZL","Mohan Rangan","
  First I thought I m going to rate this book 5 star but after moved through chapters it contradicts a lot, author fails to explain convincingly about enlightenment, surrender, now etc which makes me to think that author wrote wat he read, felt, realised about his life in this book & not enlightenment. Few contradicts I list 1. Author says self & mind are separate and self is real & constructive where mind is illusion & destructive and to control mind by self, so comatose must be enlightenment you don't have to control ur mind too. 2. Being is transformed starting from big bang to present day includes origin & evolution of living too what its necessity just for being present everything should have its reason. 3. In relationship author contradicts & confuses himself in last three chapters. 4. Author says beyond happiness & unhappiness there is peace, you want(unhappy) you got (happy) & this cycle continues & suffering continues, so peace must be in t cycle not beyond t cycle.
","Reviewed in India on 29 January 2019","Read Adler's how to read a book",2,"","14"
"R1LIQTIPM3OZX3","Maheswaram Ravi Chandra","
  The publisher of the book mentioned in product description is 'New World Library', but the book I received published by 'Yogi Impressions Books Pvt. Ltd.'. Maybe this is an Indian edition. The paper quality and printing quality of the book are of very low grade which makes difficult to read. The paper is so thin that the print on the backside of the page is visible. The black ink spreads all over the pages. In some pages, the end words in each line not printed completely. In some pages, the printing is too light and faded. In some pages, some of the letters are thicker.I don't mind paying extra money for the book with high-quality paper with rich print quality that inspires to read. I am deeply disappointed with the book quality standard. I'm sincerely requesting Amazon not to entertain books of this quality.
","Reviewed in India on 12 August 2019","Low-quality paper with poor print quality",1,"https://images-na.ssl-images-amazon.com/images/I/71Qa2EIZ3QL.jpg
https://images-na.ssl-images-amazon.com/images/I/81Qk-61IvJL.jpg
https://images-na.ssl-images-amazon.com/images/I/81UQmgkFUZL.jpg
https://images-na.ssl-images-amazon.com/images/I/81aC14DkTkL.jpg
https://images-na.ssl-images-amazon.com/images/I/81ryeUvlmKL.jpg","14"
"RLBI5228XHH2Q","Balakumar","
  If you need to read one book in your entire life, it would be the ""Power of Now"".  Though I have read several spiritual classics and seem to understand the teachings it convey, I realized that I did not gather the underlying message portrayed by those great spiritual texts.  It is Eckhart's wisdom showed me what those spiritual texts are actually conveying.The first radical concept, we live only in the Now, takes time to understand, intellectually, we may seem to understand but to put it in practice it is a different story.  We constantly live in the past or future but never in the present.  In fact we never really live in the present moment.  Eckhart in a very crystal clear manner portrays how we live in a dysfunctional way and opens our eyes to the Present.  In the present moment we find our salvation and not anywhere else. If we practice what is presented in the book, we will be giving a present to ourselves.Do buy and read it. I have recommended this book to all my friends.
","Reviewed in India on 21 July 2019","The most important author in my life",5,"","1"
"RHOF34WW79PH","AmazonCustomer1","
  The only book that took me 2 months to read and digest. Each single line of each paragraph is so much meaningful that you thank God for each word of this book. Absolutely binding your attention and guides you to enlightenment. A must read for those that do want right guidance to achieve enlightenment. I am truely grateful for having got a chance to read this book. Thank you God!
","Reviewed in India on 24 December 2018","Book for enlightenment!",5,"","11"
"R214KXCUSISWGW","Dev k.m","
  very good book for spiritual progress.. the book explains how we are the slave of our minds and are always thinking about the past or future which inturn causes us anxiety and fear, stress... the author explains how to except the now and live in the now !!!
","Reviewed in India on 15 April 2017","awesome book!!simple to understand!!",5,"","20"
